article_id	source_name	source_region	date	phase	headline	body_text
1	the guardian	west	22-03-2025	before	At least 26 tourists killed by suspected militants in Kashmir attack	At least 26 tourists were killed and several others injured when suspected militants opened fire at a popular tourist destination in Kashmir during a scheduled visit to India by the US vice-president, with most of the victims reported to be Indian nationals and two foreign nationals also among the dead. The attack took place in the Baisaran Valley near Pahalgam, a well-known tourist town southeast of Srinagar, and is being described by officials as one of the deadliest attacks on civilians in the region in recent years. In the afternoon, gunmen reportedly approached tourists from nearby mountains, emerging from a dense forest and opening indiscriminate fire in an area accessible only on foot or horseback before fleeing. Graphic videos circulated on social media showed injured tourists lying on the ground as relatives sought help, and helicopters were deployed to evacuate the wounded due to the lack of road access. Witnesses and survivors described scenes of panic, with some transporting the injured on horseback and others fleeing several kilometres to escape the gunfire. Regional and national leaders condemned the attack, with IndiaÃ¢â‚¬â„¢s prime minister calling it a heinous act and pledging that those responsible would be brought to justice, while international leaders expressed support. Security forces cordoned off the area and launched a search operation for the attackers. Protests later erupted in parts of Indian-administered Kashmir condemning the violence, and a militant group calling itself Kashmir Resistance claimed responsibility, citing opposition to demographic changes in the region. Kashmir has long been disputed between India and Pakistan and has experienced decades of insurgency and violence, though attacks on tourists have been relatively rare in recent years. The region remains heavily militarised, and authorities said the attack appeared intended to spread fear among visitors at a site that normally attracts large numbers of tourists, particularly during the summer season.
2	reuters	west	22-03-2025	before	At least 20 feared killed in militant attack on tourists in Indian Kashmir, security sources say	At least 20 people were feared killed after suspected militants opened fire on tourists in IndiaÃ¢â‚¬â„¢s Jammu and Kashmir territory, in what security sources described as the worst attack on civilians in the region in years. The shooting took place in Pahalgam, a popular tourist destination in the mountainous Himalayan area where tourism has resurged in recent years as militant violence has declined. Security sources gave varying estimates of the death toll, ranging from 20 to 26, noting that the figures were still being verified. Witnesses said the firing happened suddenly in front of them in an off-road meadow, with some initially mistaking the sound for firecrackers before fleeing several kilometres to escape. Reports cited two or three militants as being involved in the attack. The chief minister of Jammu and Kashmir said the death toll was still being ascertained but described the incident as far larger than recent attacks on civilians, while the nationalities of the victims were not immediately known. A little-known militant group calling itself Kashmir Resistance claimed responsibility in a social media message, citing opposition to the settlement of more than 85,000 outsiders in the region and alleging demographic change, though the claim could not be independently verified. The regional government has previously stated that tens of thousands of non-locals have been granted domicile rights in recent years. IndiaÃ¢â‚¬â„¢s prime minister condemned the attack and vowed that those responsible would be brought to justice, while the home minister said he was travelling to Kashmir to hold a security meeting. The United States said its president had been briefed on what was described as a brutal terrorist attack and later expressed support for India in pursuing the perpetrators. Jammu and Kashmir has been affected by militant violence since an insurgency began in 1989, with tens of thousands killed, although violence has eased in recent years. India revoked the regionÃ¢â‚¬â„¢s special status in 2019, splitting it into two federally administered territories and allowing outsiders to obtain domicile rights, a move that worsened ties with Pakistan, which also claims the territory. Attacks on tourists have been rare in recent years, with the last major incident occurring in June 2024, and security agencies have previously said that some major attacks have coincided with visits by foreign officials, with the latest incident occurring a day after the US vice-president began a four-day visit to India.
3	msa	South-East Asia	23-03-2025	before	Terrorist Attacks in Pahalgam, Jammu and Kashmir on 22 April 2025	Singapore strongly condemns the terror attacks in Pahalgam, Jammu and Kashmir on 22 April 2025 which have claimed many lives.We stand with India in the fight against terrorism.
4	the indian express	asia	23-03-2025	before	Pahalgam terror attack deaths: Husband, father, brother; Kochi to Kanpur, Kolkata to Raipur	Among the 26 people killed in the terror attack on tourists in south KashmirÃ¢â‚¬â„¢s Pahalgam were men from across India who were visiting the area with their families. The victims included a realtor from Karnataka, an accountant from Odisha, a businessman from Kanpur, and a Gulf-returnee from Kerala. Manjunath Rao, 47, from Shivamogga in Karnataka, was visiting the area known as Ã¢â‚¬Å“Mini SwitzerlandÃ¢â‚¬Â with his wife Pallavi and their 18-year-old son when the firing began in the afternoon; Pallavi later said they initially mistook the gunfire for a military exercise, but soon found Manjunath dead with a single gunshot wound to the head after stepping off a tourist bus, adding that men in the group appeared to be the primary targets and recounting an exchange in which the attacker told her to Ã¢â‚¬Å“tell ModiÃ¢â‚¬Â after refusing to kill her and her son. Another victim was Prashant Satpathy, 43, an accountant from Balasore in Odisha, who was vacationing with his wife and nine-year-old son and was shot in the head while alighting from a ropeway, according to his wife, who described sudden chaos at the scene. A 65-year-old man from Kochi, Kerala, Ramachandran, was shot while riding a horse during a family trip with his wife, daughter, and grandchildren, and was later identified at a local hospital by his daughter. Shubham Dwivedi, 31, a businessman from Kanpur managing his familyÃ¢â‚¬â„¢s cement business, was also killed while travelling with an 11-member family group; he had married in February and was on his second trip after the wedding when he was shot dead while riding horseback with his wife. Another victim, Dinesh Mirania, 42, from Raipur in Chhattisgarh, was visiting Kashmir with his wife and children to mark his wedding anniversary after a pilgrimage to Vaishno Devi, and was shot during the attack.
5	ap news	west	23-03-2025	before	India blames Pakistan for a deadly attack in disputed Kashmir and suspends a key water treaty	India blamed Pakistan for a militant attack that killed 26 people in Indian-held Kashmir, downgrading diplomatic ties and suspending a long-standing water-sharing treaty between the two nuclear-armed rivals. The gun attack on tourists in a scenic valley in Pahalgam was the deadliest assault on civilians in the region in years and also wounded 17 others. IndiaÃ¢â‚¬â„¢s foreign secretary said the decision followed a special cabinet meeting led by the prime minister and was based on assessments that the attack had cross-border links to Pakistan, though no public evidence was provided. Pakistan rejected the accusation, saying India was using the incident as a pretext to abandon the treaty, and said it would respond after a high-level meeting. India announced the suspension of the Indus Water Treaty until Pakistan credibly ends support for cross-border terrorism, expelled several Pakistani diplomats, recalled its own diplomats, reduced diplomatic staff on both sides, and closed the main land border crossing. Indian security forces launched a large-scale manhunt, deploying tens of thousands of police and soldiers, setting up checkpoints, searching vehicles, using helicopters to scan forested areas, and questioning former militants, while shops and businesses closed in protest. Indian officials described the assault as a terror attack by militants opposing Indian rule, and senior leaders vowed to punish both the perpetrators and those who conspired in the attack. A little-known militant group calling itself Kashmir Resistance claimed responsibility on social media, alleging opposition to the settlement of tens of thousands of outsiders in the region and asserting that those targeted were linked to Indian security agencies, though the claims could not be independently verified. Officials said most of the dead were Indian tourists, along with one from Nepal and a local tourist guide, and Pakistan issued condolences to the victimsÃ¢â‚¬â„¢ families. The attack triggered an exodus of tourists from the region despite years of a tourism push by New Delhi that officials said signaled a return to normalcy. Kashmir has been divided between India and Pakistan for decades, with both claiming it in full, and has experienced an insurgency since 1989 that has killed tens of thousands, though violence has declined in recent years and shifted geographically, even as major attacks have periodically coincided with high-profile foreign visits and major political developments.
6	cnn	west	24-03-2025	before	A tourist massacre in Kashmir is escalating tensions between India and Pakistan. HereÃ¢â‚¬â„¢s what we know	Several gunmen opened fire on tourists in the mountainous town of Pahalgam in Indian-administered Kashmir, killing at least 25 Indian citizens and one Nepali national in an attack that took place in a valley accessible only by foot or horseback. Eyewitnesses described panic as the attackers approached tourists at close range and began shooting, with some survivors saying that men were singled out and others reporting that the attackers accused certain victims of supporting Prime Minister Narendra Modi. Kashmir has long been a flashpoint between India and Pakistan since their independence in 1947, witnessing wars, heavy militarization, and decades of violence involving militant groups seeking independence or accession to Pakistan, a claim India says is backed by Pakistan but which Islamabad denies. Analysts say the Pahalgam attack undermines assertions that militancy declined after KashmirÃ¢â‚¬â„¢s autonomy was revoked in 2019. Responsibility for the attack remains unclear, as The Resistance Front initially claimed responsibility online but later reportedly withdrew the claim, while Indian authorities linked the group to Lashkar-e-Tayyiba and named three suspects, including two Pakistani nationals, without detailing how they were identified. In response, India announced diplomatic and security measures including border closures, visa restrictions, expulsion of Pakistani military advisers, and suspension of participation in the Indus Water Treaty, while Pakistan condemned the actions, suspended trade, closed its airspace, expelled Indian diplomats, and warned that attempts to block water flows would be considered an act of war. Tensions remain high as Indian security forces continue search operations in Kashmir, protests condemn the attack, residents near the border express fear of escalation, and analysts warn the crisis could lead to further military confrontation based on patterns seen in previous conflicts.
7	times of india	south asia	29-03-2025	before	one week of pahalgam terror attack india pakistan ties hit new low	It has been a week since the terror attack in Jammu and KashmirÃ¢â‚¬â„¢s Pahalgam claimed the lives of 26 people including a foreign national from Nepal, and tensions between India and Pakistan have since escalated with ties hitting a new low between the two countries. Relations plunged after The Resistance Front, a proxy outfit linked to Lashkar-e-Taiba, claimed responsibility for the deadliest attack in years on civilians in Kashmir and later retracted its claim. Prime Minister Narendra Modi gave the Indian armed forces complete freedom to decide on the mode, targets and timing of a response, expressing full confidence in their operational capabilities. Security forces and senior officials held high-level meetings to strengthen border and internal security, with key paramilitary and elite counter-terrorism units participating. Unprovoked firing across the Line of Control continued for several days, with the Indian army stating it responded in a measured and effective manner to provocations opposite Kupwara, Baramulla and the Akhnoor sector. Anti-terror operations were intensified in the Kashmir Valley, including raids on multiple locations to disrupt terror-supporting infrastructure, and houses linked to active terrorists were demolished. India criticised Pakistan at the United Nations over alleged support for terrorism, citing comments by PakistanÃ¢â‚¬â„¢s defence minister, and firing at the LoC persisted. The Indian government convened an all-party meeting to brief political parties on steps taken since the attack, while families of victims and some political leaders welcomed IndiaÃ¢â‚¬â„¢s military actions against terror infrastructure. The Indian armed forces initiated Ã¢â‚¬Å“Operation Sindoor,Ã¢â‚¬Â conducting strikes on terror sites across the Line of Control and inside Pakistan, which India described as precise, calculated and non-escalatory, targeting facilities used by militant groups but avoiding Pakistani military installations, and reaffirming IndiaÃ¢â‚¬â„¢s commitment to hold those responsible for the Pahalgam attack accountable.
8	mint	south asia	30-03-2025	before	Pahalgam Terror Attack Highlights: Pakistan's account on 'X' withheld in India	India downgraded diplomatic ties with Pakistan and announced a series of retaliatory measures after a terror attack in KashmirÃ¢â‚¬â„¢s Pahalgam area killed at least 26 people, most of them tourists, in what is being described as the deadliest attack in the Valley since the 2019 Pulwama strike. The attack took place on Tuesday in Baisaran meadow, also known as Ã¢â‚¬Å“mini Switzerland,Ã¢â‚¬Â where terrorists indiscriminately opened fire on tourists. Prime Minister Narendra Modi convened a meeting of the Cabinet Committee on Security, which included senior ministers, while the defence minister reviewed the security situation and assured that the perpetrators would face a strong response. India announced five key measures, including suspending the Indus Waters Treaty of 1960, closing the Integrated Check Post at Attari, cancelling the SAARC Visa Exemption Scheme for Pakistani nationals and asking those currently in India to leave within 48 hours, expelling PakistanÃ¢â‚¬â„¢s defence, military, naval and air advisers from New Delhi while withdrawing its own advisers from Islamabad, and reducing the strength of both high commissions. The government said the attack had cross-border linkages and directed security forces to maintain high alert, launch intensified anti-terror operations, and ensure those responsible and their sponsors are held accountable. The Resistance Front, described as a shadow group linked to Lashkar-e-Taiba, claimed responsibility for the attack, though the claim could not be independently verified. The incident occurred as the tourist season was picking up and during a visit to India by the US vice president, prompting Prime Minister Modi to cut short a foreign trip, while several world leaders condemned the attack and expressed condolences. Candlelight vigils, protests, shutdowns and political meetings were held across Jammu and Kashmir and other parts of India, families of victims received compensation announcements from various state governments, and security forces launched a large manhunt involving detentions, checkpoints and search operations as investigations continued.
9	aljazeera	middle east	06-05-2025	during	India launches Operation Sindoor, exchanges heavy fire with Pakistan	India launched Operation Sindoor, striking nine sites in Pakistan and Pakistan-administered Kashmir, triggering the most serious fighting between the two nuclear-armed neighbours in more than two decades and raising fears of a wider conflict. Pakistan said at least 26 people were killed and 46 injured in the Indian attacks, calling them an act of war, while India said eight civilians were killed by Pakistani shelling in retaliation. The escalation followed a deadly attack last month on tourists in Indian-administered Kashmir that India blamed on Pakistan, an accusation Islamabad denied. India said its military targeted terrorist infrastructure from where attacks against India were planned and directed, describing its actions as focused, measured and non-escalatory and stating that no Pakistani military facilities were hit. The strikes hit locations in Pakistan-administered Kashmir and PakistanÃ¢â‚¬â„¢s Punjab province, including Muzaffarabad, Kotli and Bahawalpur, where Pakistan said civilian areas and mosques were damaged, resulting in civilian casualties. Pakistan claimed it shot down several Indian aircraft and said its response was under way, as heavy shelling and gunfire resumed across the Line of Control. Leaders on both sides held crisis meetings as international concern mounted, with the United Nations calling for maximum restraint and warning that the world could not afford a military confrontation between India and Pakistan, and the United States urging the situation to end quickly. Analysts warned that the escalation had already surpassed the scale of the 2019 crisis, driven by high domestic emotions on both sides, and cautioned that further military action would carry unacceptable risks, with civilians in Kashmir likely to bear the heaviest cost.
10	france 24	west	06-05-2025	after	Operation Sindoor': India launches strikes on Pakistan as Islamabad vows retaliation	India launched attacks on nine sites in Pakistan and Pakistan-administered Kashmir in a sharp escalation of tensions between the two nuclear-armed neighbours, saying the strikes targeted locations where attacks against India had been planned. Pakistan reported that at least 26 civilians were killed and 46 injured, while India said Pakistani shelling later killed civilians on its side of the Line of Control. India described the operation, named Operation Sindoor, as targeting terrorist infrastructure linked to Islamist militant groups such as Jaish-e-Mohammed and Lashkar-e-Taiba and said the strikes were conducted with restraint and were non-escalatory, while Pakistan rejected this account, calling the assault a blatant act of war and stating that the sites hit were civilian areas, including mosques. Pakistan said it shot down five Indian fighter jets, a claim India did not confirm, though reports from Indian-administered Kashmir indicated that several aircraft had crashed and pilots were hospitalised. Intense shelling and heavy gunfire followed across the de facto border in Kashmir, causing further civilian casualties and prompting widespread closures of schools and heightened emergency measures in parts of both countries. The violence drew international concern, with the United States, the United Nations and China urging restraint and calling for de-escalation, as Indian officials briefed foreign counterparts and Pakistan said it had informed the UN Security Council of its right to respond. The strikes came after an April attack on tourists in Indian-administered Kashmir that killed 26 people, which India blamed on Pakistan-based militants, an accusation Islamabad denied, and analysts warned that the scale of Indiaâ€™s action went beyond previous responses, raising the risk of a broader and more serious crisis between the two countries.
11	south china morning post	east asia	07-05-2025	during	Kashmir tensions: India strikes at Pakistan as Islamabad vows retaliation	India carried out missile strikes on sites in Pakistan and Pakistan-administered Kashmir under an operation it called Operation Sindoor, prompting international calls for restraint as at least 26 civilians were reported killed and dozens injured. New Delhi briefed senior US officials shortly after the strikes, with Washington urging both India and Pakistan to keep communication channels open and avoid escalation. India said it conducted precision strikes on nine locations that it described as terrorist camps where attacks against India were planned and directed, emphasising that no Pakistani military facilities were targeted and that the action was focused, measured and non-escalatory. Pakistan rejected this account, saying civilian areas were hit, denying the presence of militant camps at the targeted sites, and reporting casualties including women and children, as well as damage to civilian infrastructure such as a hydropower facility. Islamabad condemned the strikes as unprovoked aggression and said it reserved the right to respond, while claiming it had shot down Indian fighter jets, a claim India has not confirmed, although reports from Indian-administered Kashmir said aircraft had crashed and pilots were hospitalised. India stated that intelligence indicated further attacks were imminent, justifying what it described as pre-emptive and precautionary strikes, and said the targets were linked to Islamist militant groups. The escalation followed heightened tensions after an April 22 militant attack in Pahalgam that killed 26 tourists, which India has blamed on Pakistan-backed groups, an allegation Pakistan denies, calling instead for an international investigation. Cross-border shelling along the Kashmir frontier caused additional civilian casualties on both sides, disrupted air travel with multiple airlines cancelling flights, and led India to conduct civil defence drills. The crisis renewed fears of a wider conflict between the nuclear-armed neighbours, drawing appeals from the United Nations and other international actors for de-escalation, dialogue and restraint, amid diplomatic moves including IndiaÃ¢â‚¬â„¢s suspension of a long-standing water-sharing treaty and efforts by third countries to mediate.
12	global times	east asia	07-05-2025	during	India-Pakistan clash sparks global concerns as airstrikes escalate tensions	India launched military strikes on nine locations in Pakistan and Pakistan-controlled Kashmir, describing them as terrorist infrastructure, while Pakistan condemned the action as blatant aggression and said civilian areas in six locations were hit. PakistanÃ¢â‚¬â„¢s government authorised its armed forces to take corresponding actions, with senior officials stating that military operations were under way and warning that the situation would not remain unanswered. The escalation marked the deadliest confrontation between the two countries in more than two decades, with Pakistan reporting at least 26 people killed and 46 injured in the strikes, and India saying Pakistani artillery fire killed 15 civilians and injured 43 in Indian-controlled Kashmir. PakistanÃ¢â‚¬â„¢s military claimed it shot down five Indian aircraft and a combat drone, a claim India has not confirmed, while New Delhi described its actions as measured, proportionate, non-escalatory and undertaken in response to an April 22 attack in Indian-controlled Kashmir that killed 26 people, an attack India has linked to Pakistan and which Pakistan has denied. Indian officials said the strikes were part of Operation Sindoor and were intended to deter further cross-border attacks, while IndiaÃ¢â‚¬â„¢s national security adviser briefed counterparts in several countries, saying India did not intend to escalate but would respond firmly if provoked. PakistanÃ¢â‚¬â„¢s National Security Committee and National Security Council accused India of violating sovereignty and international norms and asserted PakistanÃ¢â‚¬â„¢s right to respond in self-defence. Fighting and shelling were reported along the Line of Control, disrupting civilian life and air travel, even as Pakistan said its airspace remained open and safe. The clashes prompted widespread international concern, with the United Nations, China, Russia, the United States, the United Kingdom and other countries urging restraint, dialogue and de-escalation, and offering diplomatic support to ease tensions. Chinese officials expressed regret over IndiaÃ¢â‚¬â„¢s military operation, reiterated opposition to terrorism, and called on both sides to act in the interest of regional peace and stability, while diplomatic engagements took place between Chinese and Pakistani officials. Analysts cited in the report said the strikes were influenced by domestic pressure in India following the earlier attack and warned that crossing into Pakistani territory raised the risk of wider conflict, arguing that restraint, ceasefire and political solutions were ultimately the only viable way to ease India-Pakistan tensions.
